Substance,Macro-region,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GWP_100_AR5_CO2,Eurasia,Organic Soil,148.4903968,148.4903968,148.4903968,148.4903968,148.4903968,148.4903968,148.4903968,148.4903968,148.4903968,148.4903968,148.4903968,146.9671797,145.4427087,143.8788117,142.6072226,141.2915191,139.9653619,139.1706654,136.1890024,134.8831821,135.2016806,133.9281715,133.9621023,133.4219485,133.4916194,133.5299848,132.7968261,132.7032994,133.4413213,133.398489,133.398489,133.398489,133.398489
GWP_100_AR5_CO2,Eurasia,Other Land,-32.64805197,11.87178728,6.918724799,-9.859443758,-46.53333205,-70.08439049,-95.23495658,-108.5329473,-120.7426138,-143.6216341,-135.2226881,-147.1357402,-161.4778259,-148.6485325,-130.2247371,-131.217283,-110.7336188,-147.1929629,-194.904953,-174.5457633,-205.3177631,-204.8109118,-219.2839954,-190.96035,-245.7016018,-185.7326703,-217.7645852,-214.2079652,-215.2665994,-203.3178647,-202.3784959,-171.3885129,-171.3885129
GWP_100_AR5_CO2,Europe,Deforestation,30.71892181,30.82717215,30.89163259,32.24422216,31.51966241,31.90470285,34.30949316,35.75659017,38.80223949,37.06689188,36.67397811,39.06123603,40.31420735,41.24265946,43.24832633,43.53296211,45.52190825,47.30304867,46.90168579,46.63034609,47.1719203,47.53502471,48.01636531,51.45350168,45.67028548,48.73957703,49.42647835,43.51963956,42.16386181,41.9396952,39.52738155,39.00035978,39.00035978
GWP_100_AR5_CH4,Europe,Fires,5.365661836,3.033274262,2.233374244,1.525872874,3.455053909,3.455053909,3.751682206,1.191875129,5.236164896,2.036478778,4.254191818,4.32029646,1.700598696,2.238802814,0.468440447,1.24905555,0.723100955,1.439046985,0.459041255,0.70930537,0.691198923,1.299113809,2.320545831,0.497602024,1.117415658,2.314374104,0.604966167,1.995674692,0.616935871,1.96375187,1.778540695,0.975627468,1.915620725
GWP_100_AR5_CO2,Europe,Fires,44.2038922,28.32449547,22.6388163,15.53716938,34.00913589,34.00913589,37.26498161,7.931139715,50.76553212,20.3421724,40.73068343,37.14443595,6.201005172,15.00173084,2.924102632,12.61021624,6.392935604,9.513815331,2.884272468,5.621869883,5.163669755,6.555734053,12.04614957,4.585149805,7.608246452,10.79642844,5.120770788,20.93092979,4.774240782,9.531598996,11.583289,9.773258413,13.10309213
GWP_100_AR5_N2O,Europe,Fires,1.775522953,1.200836968,1.014804507,0.689437056,1.497995711,1.497995711,1.631113424,0.310582136,2.191830297,0.918066377,1.782577763,1.563129316,0.144977741,0.573245121,0.134077957,0.548589799,0.290574632,0.406915769,0.161456711,0.255595191,0.224682686,0.235105713,0.413289696,0.2026109,0.306781678,0.333293369,0.237776665,0.917335666,0.198893115,0.291828819,0.436253473,0.440779761,0.501025313
GWP_100_AR5_CO2,Europe,Forest Land,-613.1904446,-735.9052827,-729.0790162,-738.8874672,-693.7240923,-654.6999764,-674.9510292,-635.8014192,-632.8680882,-615.9684848,-544.0845739,-594.9721544,-582.3521591,-550.0821309,-528.2655756,-475.4080941,-512.4449262,-445.3880631,-517.9317392,-595.9502168,-487.55302,-478.2214312,-479.2275228,-466.8631511,-460.3966817,-444.1711639,-428.2172654,-420.4706065,-356.9190069,-353.8423667,-383.8121216,-337.625849,-328.4707119
GWP_100_AR5_CO2,Europe,Organic Soil,120.3175315,120.3175315,120.3175315,120.3175315,120.3175315,120.3175315,120.3175315,120.3175315,120.3175315,120.3175315,120.3175315,120.5947925,120.4318359,120.014218,119.032579,119.4115663,120.5490829,119.9281656,119.8749297,119.7899344,119.2241275,119.360906,119.6247011,119.1852774,119.5120491,119.4700739,120.0228358,120.1071946,120.0364953,120.403863,120.3977878,120.3977878,120.3977878
GWP_100_AR5_CO2,Europe,Other Land,-43.52986361,-45.78145073,-43.36404003,-52.90893267,-61.26737578,-73.71517571,-69.69691587,-67.90085466,-74.03587722,-150.2663539,-73.44846013,-78.48853601,-79.04359518,-101.2448171,-113.8252866,-116.1751045,-129.3303404,-124.8809415,-74.76629633,-77.16707858,-102.168181,-88.55851369,-90.70939765,-73.29054343,-76.51852298,-100.7278407,-103.2810742,-105.8477128,-99.46837123,-110.5419192,-123.0653177,-133.161436,-133.161436
GWP_100_AR5_CO2,Latin America and Caribbean,Deforestation,1476.200415,1329.232415,1488.520415,1544.629415,1539.567415,2524.320346,1891.069276,1607.983206,1846.372084,1839.227962,1891.581271,1834.31915,2039.653188,3050.334755,3230.690769,2312.215498,1994.610466,1737.246707,1813.640296,1258.920786,1194.202422,1208.117306,1129.899275,1293.752693,1095.679627,1189.420844,1223.552507,1235.145751,1236.432963,1238.662017,1238.663017,1238.663017,1238.663017
GWP_100_AR5_CH4,Latin America and Caribbean,Fires,58.77958821,83.87501175,89.38655905,173.4575307,76.0332068,76.0332068,77.75500885,45.42662401,77.75587736,93.92172845,150.7629746,66.40886537,60.15159603,77.90341439,78.69568544,80.41276291,58.93534091,98.19667706,45.54055126,34.4782353,115.7499722,34.16595238,45.32787224,35.16442712,30.88340522,51.34102578,61.24131249,50.90400351,28.10679405,76.06971399,83.87602542,48.74832038,65.933807
GWP_100_AR5_CO2,Latin America and Caribbean,Fires,78.70038572,72.18595824,58.07607062,50.7479414,96.50860265,96.50860265,82.62075841,53.68754713,58.443009,81.23905867,42.83161973,60.72405365,24.15990472,26.93150704,12.22980078,17.45970396,14.80491184,9.646119819,22.40984396,16.02338818,8.113507939,20.66603291,12.48558316,10.70032969,8.415283974,17.2010484,18.76747005,45.49202794,16.05959605,17.27488924,25.26147395,15.03630581,22.29306897
GWP_100_AR5_N2O,Latin America and Caribbean,Fires,19.39482238,27.08886269,27.81264194,49.84512815,25.5467215,25.5467215,26.93439856,13.91510084,23.7036697,28.44230588,43.61900695,22.78859702,24.30835567,24.51767927,27.86308447,28.79082206,18.15975936,36.12745766,17.21748348,10.88387669,37.91493172,15.03274815,18.52435419,11.41381733,12.44355136,18.01601178,17.44535849,21.64447711,11.56677908,24.70850606,29.24401266,18.98916255,21.0105398
GWP_100_AR5_CO2,Latin America and Caribbean,Forest Land,-2200.329453,-2135.503926,-2220.43296,-2134.177309,-2107.417402,-2049.741304,-2010.716261,-1964.090812,-1907.230475,-1833.565447,-1872.425094,-1818.621182,-1703.433586,-1716.565013,-1664.008581,-1677.849278,-1626.316132,-1642.043125,-1840.045644,-1791.602836,-1685.529035,-1600.830884,-1612.411221,-1602.993187,-1656.101489,-1568.659194,-1612.340329,-1549.486442,-1616.624464,-1633.024799,-1631.375632,-1630.189433,-1666.345565
GWP_100_AR5_CO2,Latin America and Caribbean,Other Land,-29.56469366,-34.40650666,-33.34631966,-31.82413266,-34.57994566,-19.53661984,-26.04729401,-36.32396818,-37.05565437,-41.29434055,-43.535594,-38.54662733,-28.36935367,-3.8575,-8.073124333,-37.11424867,-42.892189,-47.55505233,-44.70323167,-36.766984,-49.595225,-36.528094,-43.065365,-38.09611033,-41.55775367,-51.518949,-57.546411,-77.692773,-74.612668,-77.423215,-77.423215,-77.423215,-77.423215
GWP_100_AR5_CO2,Middle East,Deforestation,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173,99.69173
